country_code,sentence,cluster_no
AE, a man in a suit and tie standing in a store.,0
AE, a man in a suit and tie standing in front of a building.,0
AE, a man is standing on the back of a truck.,1
AE, a man is standing next to a motorcycle.,1
AE, a man is riding a bicycle down a river.,1
AE, a person holding a cell phone in their hand.,2
AE, a pair of scissors and a pair of scissors,2
AE, a black and white photo of a person holding a tennis racket,2
AE, a man holding a tennis racquet on a tennis court.,2
AE, a group of people standing around a large elephant.,2
AE, a group of people standing around a table with a cell phone.,2
AE, a group of people standing around a giant pair of scissors.,2
AE, a picture of a person holding a cell phone.,2
AE, a large clock tower with a clock on it 's side.,2
AE, a man in a suit and tie standing in a room.,2
AE, a picture of a street sign with a sky background,2
AE, a close up of a person holding a snowboard,2
AE, a pair of scissors and a pair of scissors,2
AE, a person holding a pair of scissors in the hand.,2
AE, a person holding a stuffed animal in a room.,2
AE, a pair of scissors and a knife on a table,2
AE, a person holding a pair of scissors in their hand.,2
AE, a black and white photo of a black and white cat,2
AE, a man in a suit and tie standing in a room.,2
AE, a man in a suit and tie standing in a room.,2
AE, a man wearing a tie and a shirt and tie,2
AE, a man wearing a tie and a suit jacket.,2
AE, a man wearing a tie and a suit jacket.,2
AE, a man is riding a motorcycle with a woman on the back of it.,2
AE, a red and white sign with a green light,2
AE, a person holding a cell phone in their hand.,2
AE, a young girl is holding a toothbrush in her mouth.,2
AE, a pair of scissors and a pair of scissors,2
AE, a pair of scissors sitting on top of a wooden table.,2
AE, a man and a woman are standing in a room.,2
AE, a man and a woman are standing in a room.,2
AE, a man in a suit and tie standing next to a building.,2
AE, a pair of scissors and a pair of scissors,2
AE, a man and a woman are standing in a room.,2
AE, a group of people standing in a room.,2
AE, a man and a woman are playing a video game.,2
AE, a woman is standing in a room with a man and a woman.,2
AE, a close up of a black and white cat,2
AE, a man wearing a tie and a neck tie,2
AE, a close up of a street sign with a sky background,2
AE, a man wearing a suit and tie standing in a room.,2
AE, a man wearing a tie and a neck tie,2
AE, a man wearing a suit and tie standing in a room.,2
AE, a man wearing a suit and tie standing in a doorway.,2
AE, a pair of scissors and a pair of scissors,2
AE, a black and white photo of a pair of scissors,2
AE, a close up of a pair of scissors on a table,2
AE, a close up of a pair of scissors on a table,2
AE, a close up of a cell phone with a <unk> on it,2
AE, a group of people standing in a room with a clock,2
AE, a man holding a cell phone in his hand.,2
AE, a large screen television set on a wall,2
AE, a group of people standing on a street corner.,2
AE, a person holding a cell phone in their hand.,2
AE, a person holding a small stuffed animal in their hands.,2
AE, a group of people riding on a boat,2
AE, a group of people standing around a large elephant.,2
AE, a man holding a cell phone up to his ear,2
AE, a close up of a person holding a cell phone,2
AE, a picture of a person holding a skateboard.,2
AE, a large advertisement is on a white and black tv,2
AE, a man holding a cell phone up to his ear,2
AE, a close up of a person holding a snowboard,2
AE, a hand holding a cell phone in its mouth.,2
AE, a person holding a cell phone in their hand.,2
AE, a woman holding a cell phone in her hand.,2
AE, a person holding a cell phone in their hand.,2
AE, a person holding a cell phone in their hand.,2
AE, a person holding a cell phone in their hand.,2
AE, a person holding a cell phone in their hand.,2
AE, a close up of a cell phone with a <unk> on it,2
AE, a hand holding a cell phone in front of a keyboard.,2
AE, a person holding a cell phone in their hand.,2
AE, a stop sign with a red and white sign,2
AE, a close up of a person holding a pair of scissors,2
AE, a person holding a cell phone in their hand.,2
AE, a person holding a cell phone in their hand.,2
AE, a large white clock with a large clock on top.,2
AE, a white and black clock with a picture of a person holding a phone,2
AE, a person holding a cell phone in their hand.,2
AE, a man in a black jacket and a black hat,2
AE, a man wearing a suit and tie in a room.,2
AE, a baseball player holding a bat on a baseball field,2
AE, a large white teddy bear sitting on top of a building.,2
AE, a large black bird standing on a table.,2
AE, a person holding a pair of scissors in their hand.,2
AE, a large black bird standing on a tree branch,2
AE, a man holding a snowboard in the snow.,2
AE, a black and white photo of a person holding a snowboard,2
AE, a black and white photo of a person holding a snowboard,2
AE, a person holding a pair of scissors in their hand.,2
AE, a person holding a cell phone in their hand.,2
AE, a group of people standing next to each other.,2
AE, a group of people standing in the snow.,2
AE, a stuffed animal that is laying on a bed,2
AE, a woman holding a cell phone in her hand.,2
AE, a teddy bear is sitting on a chair.,2
AE, a stuffed animal that is on a table,2
AE, a man holding a cell phone to take a picture of a woman.,2
AE, a cell phone with a charger on top of it,2
AE, a black bird is sitting on a rock,2
AE, a man holding a cell phone in his hand.,2
AE, a person holding a cell phone in their hand.,2
AE, a man holding a cell phone up to his ear,2
AE, a person holding a cell phone in their hand.,2
AE, a close up of a mouse on a desk,2
AE, a person holding a cell phone in their hand.,2
AE, a man holding a pair of scissors in his hands.,2
AE, a close up of a street sign with a sky background,2
AE, a man in a suit and tie standing in a room.,2
AE, a red fire hydrant with a red bow on it.,2
AE, a man holding a cell phone in his hand.,2
AE, a black and white photo of a person holding a snowboard,2
AE, a man holding a cell phone up to his ear,2
AE, a man holding a pair of scissors in his hand.,2
AE, a close up of a person holding a pair of scissors,2
AE, a close up of a person holding a pair of scissors,2
AE, a close up of a pair of scissors in the background,2
AE, a pair of scissors and a knife on a table,2
AE, a group of stuffed animals sitting on top of a bed.,2
AE, a large group of stuffed animals hanging from a tree.,2
AE, a table topped with a pair of scissors and a pair of scissors.,2
AE, a man holding a cell phone in his hand.,2
AE, a black and white photo of a black and white dog,2
AE, a cell phone with a picture of a man on it,2
AE, a sign that says `` <unk> '' on a street.,2
AE, a close up of a person holding a cell phone,2
AE, a pair of scissors and a pair of scissors.,2
AE, a man holding a tennis racquet on a tennis court.,2
AE, a person holding a cell phone in their hand.,2
AE, a large screen television set on a table,2
AE, a person holding a cell phone in their hand.,2
AE, a man with a cell phone in his hand.,2
AE, a large white and blue umbrella on a beach,2
AE, a clock tower with a clock on the top of it.,2
AE, a large white airplane with a lot of books on it,2
AE, a person holding a pair of scissors in a room.,2
AE, a man in a suit and tie standing in a kitchen.,2
AE, a man holding a tennis racket in his hand.,2
AE, a man holding a stop sign in front of a building.,2
AE, a pair of scissors and a pair of scissors,2
AE, a man standing on a platform next to a building,2
AE, a black and white photo of a person holding a cell phone,2
AE, a man holding a cell phone up to his ear,2
AE, a man holding a cell phone in his hand.,2
AE, a person holding a cell phone in their hand.,2
AE, a stop sign with a street sign on it,2
AE, a stop sign with a street sign on it.,2
AE, a man in a suit and tie standing in a room.,2
AE, a group of stuffed animals are on a table.,2
AE, a woman cutting a cake with a knife.,2
AE, a black and white photo of a person holding a cell phone,2
AE, a man and a woman are standing in a room.,2
AE, a train is on the tracks in a city,3
AE, a kitchen with a lot of windows and a sink,3
AE, a large amount of vases on display in a museum.,3
AE, a kitchen with a lot of windows and a sink,3
AE, a man standing on a street corner near a building.,3
AE, a refrigerator with a bunch of bottles on it,3
AE, a large building with a bunch of people on it,3
AE, a train is sitting on the tracks in the city.,3
AE, a train station with a train station and people on it.,3
AE, a man wearing a tie and a shirt and tie,4
AE, a woman holding a cell phone in her hand.,4
AE, a woman holding a pink tie and a red shirt,4
AE, a woman wearing a blue shirt and a tie,4
AE, a man wearing a tie and a shirt and tie,4
AE, a close up of a pair of scissors on a table,4
AE, a pair of scissors and a pair of scissors.,4
AE, a pair of scissors and a pair of scissors,4
AE, a pair of scissors and a pair of scissors,4
AE, a pair of scissors and a pair of scissors.,4
AE, a pair of scissors and a pair of scissors.,4
AE, a person holding a pair of scissors in a room.,4
AE, a woman wearing a pink shirt and a tie,4
AE, a man in a suit and tie standing in front of a building.,4
AE, a man wearing a hat and holding a skateboard.,4
AE, a man wearing a baseball hat and a baseball bat.,4
AE, a person is holding a pair of scissors in the air.,4
AE, a man wearing a hat and a hat and a hat,4
AE, a man holding a cell phone to his ear,4
AE, a man holding a toothbrush in his mouth.,4
AE, a woman holding a cell phone to her ear,4
AE, a woman is holding a cell phone to her ear,4
AE, a person holding a knife and cutting a piece of broccoli.,4
AE, a pair of scissors and a pair of scissors.,4
AE, a person is holding a glass of wine in a kitchen.,4
AE, a pair of scissors cutting a piece of paper.,4
AE, a woman wearing a blue shirt and a tie,4
AE, a person wearing a tie and a jacket,4
AE, a woman wearing a pink dress and a black tie,4
AE, a man wearing a tie and a shirt and tie,4
AE, a woman wearing a pink dress and a tie,4
AE, a woman wearing a pink dress and a black tie,4
AE, a man is on a skateboard in the air.,4
AE, a motorcycle is parked in a parking lot.,4
AE, a motorcycle is parked on the side of the street.,4
AE, a pair of scissors and a pair of scissors.,4
AE, a pair of scissors and a pair of scissors,4
AE, a woman wearing a pink shirt and a tie,4
AE, a woman in a dress shirt and tie,4
AE, a woman holding a cell phone to her ear,4
AE, a woman wearing a pink shirt and a tie,4
AE, a pair of scissors and a pair of scissors,4
AE, a woman is holding a glass of wine.,5
AE, a woman with a tie and a pink shirt,5
AE, a woman holding a pink tie and a glass of red wine.,5
AE, a woman with a red tie and a pink shirt,5
AE, a woman is holding a pink tie and a glass of red wine.,5
AE, a woman is holding a pink tie and a pink shirt,5
AE, a woman is holding a pink tie and a glass of wine.,5
AE, a woman is holding a cell phone to her ear,6
AE, a person holding a cell phone in their hand.,6
AE, a large building with a clock on the front of it,6
AE, a woman walking down a sidewalk next to a building,6
AE, a large building with a clock on the front of it,6
AE, a man is standing on a balcony with a clock.,6
AE, a large building with a clock on the top of it.,6
AE, a building with a bench and a clock,6
AE, a building with a clock tower and a sky background,6
AE, a blender with a glass of wine on it,6
AE, a vase with a flower in it on a table,6
AE, a glass of red wine in a blue vase,6
AE, a group of people standing around a field with a frisbee.,6
AE, a group of people on a city street with umbrellas.,6
AE, a man and a woman are standing in front of a building.,6
AE, a woman and a girl are standing in a field.,6
AE, a group of people standing around a plane,6
AE, a man and a woman are standing in a boat.,6
AE, a large white airplane is parked on a runway.,6
AE, a large airplane flying over a body of water,6
AE, a man wearing a tie and a shirt and tie,6
AE, a man in a suit and tie holding a cigar,6
AE, a man wearing a tie and a shirt and tie,6
AE, a man wearing a tie and a hat.,6
AE, a woman holding a cell phone to her ear,6
AE, a man wearing a tie and a shirt and tie,6
AE, a young man wearing a tie and a shirt.,6
AE, a man wearing a blue shirt and a red tie,6
AE, a woman is playing frisbee in a field,6
AE, a man is playing tennis on a court,6
AE, a man holding a tennis racquet on a tennis court.,6
AE, a group of people playing soccer on a field,6
AE, a cell phone with a picture of a person holding a cell phone.,6
AE, a pair of scissors with a picture of a person holding a cellphone,6
AE, a group of people standing in a room.,6
AE, a man is sitting on a motorcycle in a room.,6
AE, a train is traveling down the tracks near a forest.,6
AE, a woman sitting on a bench in front of a building.,6
AE, a man riding a skateboard down a street.,6
AE, a man is standing in front of a bus,6
AE, a man in a suit and tie standing in a room.,6
AE, a white and blue train on a steel track.,6
AE, a man in a suit and tie holding a cell phone,6
AE, a man in a suit and tie standing on a street.,6
AE, a man walking down a street holding a surfboard.,6
AE, a dog is laying on the ground in the grass.,6
AE, a man standing next to a woman holding a tennis racquet.,6
AE, a woman holding a tennis racquet on a tennis court.,6
AE, a woman holding a cell phone to her ear,6
AE, a woman holding a pink tie with a blue scarf,6
AE, a young girl holding a toothbrush in her mouth.,6
AE, a pair of scissors and a pair of scissors,6
AE, a person holding a knife and cutting a cake.,6
AE, a glass of wine sitting on a table,6
AE, a glass of wine sitting on a table,6
AE, a man and a woman are standing in the water.,6
AE, a group of people standing around a table with a cake.,6
AE, a man is standing next to a woman with a dog.,6
AE, a man in a suit and tie standing in front of a building.,6
AE, a man in a red jacket holding a snowboard,6
